Galaxy,logd25,PA,INC,vmaxg,session,mask (blockpref),mask (datapref),tdep (blockpref),tdep (datapref),logSFR,logMst,dSFMS,MS?,Type,e_tdep (blockpref),e_tdep (datapref),Mmol (blockpref),e_Mmol (blockpref),Mmol (datapref),e_Mmol (datapref),SFR_block,SFR_33Myr,SFR_12Myr,Distance (Mpc),error_add_m2mean (%),error_add_m2med (%),error_add_m1mean (%),error_add_m1med (%),Mmol_T24 (datapref),eMmol_T24 (datapref),tdep_T24 (datapref),etdep_T24 (datapref),Mmol_B13_Z (datapref),eMmol_B13_Z (datapref),tdep_B13_Z (datapref),etdep_B13_Z (datapref),Mmol_SL24 (datapref),eMmol_SL24 (datapref),tdep_SL24 (datapref),etdep_SL24 (datapref),L_CO (datapref),L_CO (blockpref)
UGC08231,1.17,74.9,74.4,96.8,24+51+59,block,Havexpand,2.97E+00,1.32E+00,-0.385220719,9.442787911,0.306121073,TRUE,MS,7.00E-01,2.35E-01,7.78E+08,1.84E+08,3.47E+08,6.17E+07,2.62E-01,3.06E-01,7.06E-01,3.48E+01,1.15E+02,8.34E+01,6.56E+01,1.66E+01,2.79E+08,6.24E+07,1.07E+00,2.38E-01,4.37E+08,7.74E+07,1.67E+00,2.95E-01,7.07E+08,1.26E+08,2.70E+00,4.82E-01,7.98E+07,1.79E+08
UGC08234,1.21,142.1,80.2,150,44+45,block,Havexpand,1.10E+03,3.24E+02,-1.092313838,11.22916961,-1.847941225,FALSE,RG,2.93E+02,8.31E+01,7.89E+09,2.10E+09,2.31E+09,5.94E+08,7.15E-03,9.16E-01,1.40E+00,1.17E+02,6.51E+01,6.60E+01,1.51E+01,1.16E+01,3.72E+09,9.67E+08,5.20E+02,1.35E+02,2.11E+09,5.31E+08,2.95E+02,7.43E+01,2.30E+09,5.81E+08,3.21E+02,8.13E+01,5.32E+08,1.81E+09
UGC08322,1.05,36.1,73,238.1,41+54,block,Havexpand,2.32E+01,9.90E+00,-0.020108492,11.18927442,-0.74342077,FALSE,GV,5.40E+00,2.62E+00,7.98E+09,1.86E+09,3.41E+09,9.00E+08,3.44E-01,1.06E+00,1.51E+00,1.09E+02,5.52E+01,4.65E+01,3.92E+01,3.86E+01,2.59E+09,6.04E+08,7.52E+00,1.75E+00,3.22E+09,8.51E+08,9.36E+00,2.47E+00,3.61E+09,9.41E+08,1.05E+01,2.74E+00,7.83E+08,1.83E+09
UGC08733,1.29,6.3,62.2,80.9,17+18+68,block,Havexpand,9.78E+00,3.08E+00,-0.627403758,9.402206127,0.096809279,TRUE,MS,2.21E+00,5.06E-01,1.53E+09,3.46E+08,4.83E+08,7.93E+07,1.57E-01,2.56E-01,4.38E-01,3.28E+01,1.41E+02,8.41E+01,1.22E+02,8.11E+01,2.55E+08,4.99E+07,1.63E+00,3.18E-01,5.12E+08,8.39E+07,3.27E+00,5.35E-01,6.79E+08,1.11E+08,4.33E+00,7.08E-01,1.11E+08,3.53E+08
UGC08781,1.2,161.8,57.1,238.6,44+46+68,block,Havexpand,1.40E+01,6.48E+00,0.229723688,11.13706468,-0.451298702,TRUE,MS,3.51E+00,1.56E+00,1.97E+10,4.96E+09,9.16E+09,2.21E+09,1.41E+00,5.18E-01,8.80E-01,1.08E+02,9.16E+01,8.45E+01,4.49E+00,2.96E+00,4.73E+09,1.15E+09,3.34E+00,8.16E-01,9.00E+09,2.13E+09,6.36E+00,1.51E+00,1.01E+10,2.39E+09,7.14E+00,1.69E+00,2.11E+09,4.54E+09
UGC09598,1.21,122.1,71.2,177,12+13+43,block,Havexpand,9.33E+00,3.01E+00,-0.015142682,10.62457053,-0.281044812,TRUE,MS,2.03E+00,8.72E-01,8.49E+09,1.85E+09,2.74E+09,7.93E+08,9.10E-01,7.67E-01,1.08E+00,7.99E+01,6.59E+01,4.69E+01,3.41E+01,6.88E+00,1.89E+09,4.82E+08,2.08E+00,5.30E-01,2.67E+09,7.81E+08,2.93E+00,8.58E-01,2.89E+09,8.37E+08,3.17E+00,9.20E-01,6.29E+08,1.95E+09
UGC09629,1.18,153.5,76.6,100,13+42,block,Havexpand,3.44E+01,1.15E+01,-0.571760829,11.15655837,-1.268573107,FALSE,RG,9.09E+00,2.54E+00,3.87E+09,1.02E+09,1.29E+09,2.86E+08,1.12E-01,1.02E+00,1.53E+00,1.12E+02,5.30E+01,4.42E+01,2.64E+01,1.81E+01,1.80E+09,4.51E+08,1.60E+01,4.02E+00,1.24E+09,2.73E+08,1.10E+01,2.43E+00,1.39E+09,3.08E+08,1.24E+01,2.75E+00,2.96E+08,8.89E+08
UGC10097,1.15,123.9,48.2,150,23+49+67,block,Havexpand,4.39E+01,6.90E+00,0.182382512,11.28728741,-0.62032029,FALSE,GV,1.15E+01,1.77E+00,1.17E+10,3.07E+09,1.85E+09,4.73E+08,2.67E-01,3.10E-01,5.30E-01,8.52E+01,1.32E+02,1.07E+02,1.09E+02,1.07E+02,1.48E+09,4.11E+08,5.52E+00,1.54E+00,1.26E+09,3.35E+08,4.71E+00,1.25E+00,1.59E+09,4.26E+08,5.94E+00,1.59E+00,4.24E+08,2.70E+09
UGC10905,1.18,171.7,68.4,150,23+24+54,block,Havexpand,1.64E+02,3.26E+01,0.307082406,11.34655764,-0.54362928,FALSE,GV,4.85E+01,8.58E+00,8.25E+09,2.44E+09,1.64E+09,4.31E+08,5.03E-02,4.79E-01,5.15E-01,1.11E+02,5.79E+01,4.34E+01,1.92E+01,5.31E+00,1.33E+09,3.58E+08,2.65E+01,7.12E+00,1.49E+09,3.78E+08,2.96E+01,7.53E+00,1.72E+09,4.44E+08,3.43E+01,8.83E+00,3.77E+08,1.90E+09
CGCG163-062,0.83,132,12,13.9,15+47+54,block,Havexpand,1.43E+00,1.33E+00,-0.637147886,9.912470683,-0.32624914,TRUE,MS,6.86E-01,4.41E-01,3.75E+08,1.80E+08,3.48E+08,1.15E+08,2.62E-01,8.07E-02,8.22E-02,6.13E+01,4.99E+01,4.55E+01,4.99E+01,4.55E+01,2.84E+08,8.32E+07,1.08E+00,3.18E-01,3.70E+08,1.23E+08,1.41E+00,4.69E-01,4.39E+08,1.46E+08,1.67E+00,5.56E-01,7.99E+07,8.61E+07
CGCG536-030,0.87,30.5,51.3,200,10,block,Havexpand,7.59E+00,1.12E+01,0.081417514,9.992906578,0.327163186,TRUE,MS,9.66E-01,1.10E+00,1.66E+10,2.11E+09,2.44E+10,2.42E+09,2.19E+00,3.82E+00,6.57E+00,8.51E+01,1.49E+02,1.15E+02,8.03E+01,6.61E+01,4.00E+09,4.60E+08,1.83E+00,2.10E-01,2.61E+10,2.58E+09,1.19E+01,1.18E+00,3.16E+10,3.12E+09,1.45E+01,1.43E+00,5.61E+09,3.82E+09
IC0674,1.14,121,85.3,241.9,34+53,block,Havexpand,1.89E+01,3.40E+01,0.030291098,11.08441936,-0.608088585,FALSE,GV,4.04E+00,7.54E+00,3.54E+09,7.58E+08,6.38E+09,1.42E+09,1.88E-01,2.01E-01,2.79E-01,1.08E+02,5.31E+01,4.43E+01,3.84E+01,3.40E+01,7.53E+09,1.74E+09,4.01E+01,9.28E+00,6.20E+09,1.38E+09,3.30E+01,7.34E+00,6.95E+09,1.55E+09,3.70E+01,8.27E+00,1.47E+09,8.14E+08
IC3598,1.15,139.1,76,225.8,17+33+62+65,block,Havexpand,2.99E+01,3.71E+00,-0.126573663,10.99868261,-0.695506578,FALSE,GV,8.38E+00,1.53E+00,4.80E+09,1.35E+09,5.96E+08,2.45E+08,1.60E-01,7.44E-01,1.15E+00,1.10E+02,5.51E+01,5.94E+01,1.93E+01,3.84E+01,7.46E+08,2.47E+08,4.65E+00,1.54E+00,5.00E+08,2.15E+08,3.11E+00,1.34E+00,5.47E+08,2.36E+08,3.41E+00,1.47E+00,1.37E+08,1.10E+09
Mrk1418,0.82,15.8,35.6,47.1,41+67,block,block,1.89E-01,1.89E-01,-1.297766322,8.522941403,0.138651141,TRUE,MS,1.06E-01,1.06E-01,6.65E+06,3.72E+06,6.65E+06,3.72E+06,3.52E-02,3.46E-02,7.39E-02,9.52E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.38E+06,1.47E+06,9.60E-02,4.17E-02,8.21E+06,4.57E+06,2.33E-01,1.30E-01,1.29E+07,7.10E+06,3.66E-01,2.02E-01,1.53E+06,1.53E+06
